month,raw_string,spend,company_name,symbol
2015-10-01,PAPA MURPHY'S KY035,261,Papa Murphy's,FRSH
2015-09-01,SONIC DRIVE IN #2931,761,Sonic Corp.,SONC
2016-06-01,KMART 4201,5386,K Mart,SHLD
2016-06-01,KMART 4201,5386,K Mart,SHLD
2016-06-01,KMART 4201,5386,Kmart Pharmacy,SHLD
2014-08-01,FRYS-FOOD-DRG #033,30307,Fry's,KR
2015-08-01,PIZZA HUT #027596,302,Pizza Hut,YUM
2014-09-01,FAMILY DOLLAR #6141,305,Family Dollar,DLTR
2014-07-01,TACO BELL #27808,789,Taco Bell,YUM
2016-04-01,BED BATH & BEYOND #1190,8529,Bed Bath & beyond,BBBY
2015-07-01,WALGREENS #5209,12440,Walgreens,WBA
2016-01-01,MCDONALD'S F4705,347,McDonalds Corporation,MCD
2014-07-01,SONIC #77,225,Sonic Corp.,SONC
2016-07-01,NOODLES & CO 674,403,Noodles & Company,NDLS
2014-06-01,DOLLAR GENERAL #13221,330,Dollar General Corporation,DG
2015-09-01,SAMSCLUB #6387,1805,Sam's Club,WMT
2015-01-01,CITI TRENDS 460,455,Citi Trends,CTRN
2015-07-01,AUTOZONE #0366,1544,Autozone,AZO
2015-12-01,BED BATH & BEYOND #841,5454,Bed Bath & beyond,BBBY
2014-04-01,MARSHALLS #0544,4648,Marshalls,TJX
2016-01-01,DOLRTREE 4725 00047258,415,Dollar Tree,DLTR
2015-05-01,THE HOME DEPOT 4110,67756,Home Depot,HD
2015-10-01,KWIK SHOP #301,1198,Kwik Shop,KR
2015-12-01,EL POLLO LOCO #3417,2039,"El Pollo Loco Holdings, Inc.",LOCO
2014-07-01,PANERA BREAD #3353,1244,Panera Bread Company,PNRA
2014-01-01,KROGER #697,6001,Kroger Fuel,KR
2014-01-01,KROGER #697,6001,Kroger,KR
2015-12-01,CVS/PHARMACY #08395,3354,CVS Pharmacy,CVS
2015-10-01,FIVE BELOW 522,816,FIVE BELOW INC.,FIVE
2015-09-01,TACO BELL #24571,698,Taco Bell,YUM
2015-05-01,DUNKIN #352696       Q35,118,Dunkin' Donuts,DNKN
2015-10-01,JACK IN THE BOX #0283,409,Jack in the Box Inc.,JACK
2015-03-01,PIZZA HUT 027747,554,Pizza Hut,YUM
2015-01-01,AEROPOSTALE 800,985,Aeropostale,AROPQ
2016-06-01,DOMINO'S 8549,461,"Domino's Pizza, Inc.",DPZ
2014-04-01,MCDONALD'S F17504,344,McDonalds Corporation,MCD
2014-12-01,JCPENNEY 0611,28704,"J.C Penney Company, Inc.",JCP
2015-03-01,WHT HS BLK MKT #3502,5158,White House Black Market,CHS
2014-11-01,TACO BELL #3227        PHOENIX      AZUS,79,Taco Bell,YUM
2016-02-01,VF OUTLET 79,2817,VF Outlet,VFC
2014-04-01,PAPA JOHN'S #02189,1366,"Papa John's International, Inc.",PZZA
2014-11-01,WM SUPERCENTER #2993,58469,"Wal-Mart Stores, Inc.",WMT
2014-06-01,JACK IN THE BOX #8230,1219,Jack in the Box Inc.,JACK
2016-02-01,DENNY'S #8749,1164,Denny's,DENN
2013-12-01,BEALLS #21,804,Bealls,SSI
2015-05-01,KWIK SHOP #0681    Q79,10540,Kwik Shop,KR
2016-04-01,WINGSTOP RIDGELAND,490,Wingstop,WING
2015-09-01,WM SUPERCENTER #1048,1701,"Wal-Mart Stores, Inc.",WMT
2015-06-01,DOLRTREE 2405 00024059,348,Dollar Tree,DLTR
2014-11-01,GAMESTOP #2204,3745,Gamestop,GME
2015-02-01,KFC C825001   36700029,409,KFC,YUM
2013-11-01,OREILLY AUTO  00007013,1057,"O Reilly Automotive, Inc.",ORLY
2014-07-01,PAPA MURPHY'S OR114,430,Papa Murphy's,FRSH
2016-01-01,WM SUPERCENTER #2476,18545,"Wal-Mart Stores, Inc.",WMT
2014-06-01,MCDONALD'S F31807,174,McDonalds Corporation,MCD
2016-02-01,SONIC  1221,175,Sonic Corp.,SONC
2013-11-01,PUBLIX #1008,27537,Publix Super Markets,PUSH
2016-02-01,SMARTNFINAL42910904290,18649,Smart & Final,SFS
2014-01-01,OREILLY AUTO  00035394,1316,"O Reilly Automotive, Inc.",ORLY
2013-11-01,TRADER JOE'S #551  QPS,5285,Trader Joe's,Aldi
2015-04-01,PAPA MURPHY'S IN030,1614,Papa Murphy's,FRSH
2013-11-01,WAL-MART #5082,11908,"Wal-Mart Stores, Inc.",WMT
2013-11-01,WAL-MART #5082,11908,"Wal-Mart Stores, Inc.",WMT
2014-02-01,ROSS STORES #1550,1135,"Ross Stores, Inc.",ROST
2015-12-01,CVS/PHARMACY #02755,8495,CVS Pharmacy,CVS
2015-11-01,PEEBLES #5223,611,Peebles,SSI
2016-06-01,BIG 5 SPORTING GOODS 087,1705,Big 5 Sporting Goods Corporation,BGFV
2015-04-01,GUESS #7071,1358,Guess?,GES
2015-05-01,PANERA BREAD #600723,182,Panera Bread Company,PNRA
2014-04-01,KFC K980073   80707888,554,KFC,YUM
2016-05-01,PANERA BREAD #3209,3182,Panera Bread Company,PNRA
2016-03-01,GAP US 7184,5912,The GAP,GPS
2014-10-01,MOTHERHOOD    00006551,902,Motherhood Maternity,DEST
2015-08-01,FAMOUSFOOTWEAR#48,14556,Famous Footwear,CAL
2014-08-01,PIZZA HUT 7770,444,Pizza Hut,YUM
2016-07-01,KROGER FUEL #4722      MIAMISBURG   OHUS,2689,Kroger Fuel,KR
2015-04-01,PAPA JOHN'S #04518,151,"Papa John's International, Inc.",PZZA
2015-09-01,TUESDAY MORNING # 0389,703,Tuesday Morning,TUES
2015-10-01,TEAVANA 057,847,Teavan,SBUX
2016-02-01,PANERA BREAD #600742,325,Panera Bread Company,PNRA
2014-11-01,PARTY CITY OF SAVANNA,1323,Party City,PRTY
2015-10-01,TARGET LAKEWOOD 2717,1322,Target Corporation,TGT
2015-10-01,FAMOUSFOOTWEAR#1550,2318,Famous Footwear,CAL
2014-10-01,TEAVANA #295,1786,Teavan,SBUX
2016-03-01,MCDONALD'S F90,649,McDonalds Corporation,MCD
2015-05-01,CVS/PHARMACY #04921,797,CVS Pharmacy,CVS
2016-06-01,OREILLY AUTO  00045823,1283,"O Reilly Automotive, Inc.",ORLY
2016-02-01,TACO CABANA 20351,2821,Taco Cabana,FRGI
2016-06-01,POPEYES NEWARK,276,"Popeyes Louisiana Kitchen, Inc.",QSR-TSE
2016-06-01,POPEYES NEWARK,276,"Popeyes Louisiana Kitchen, Inc.",PLKI
2014-02-01,THRIFTY CAR RENTAL-MSY,2269,Thrifty,HTZ
2016-02-01,LOAF N JUG #0868   Q81,1173,Loaf 'N Jug,KR
2014-07-01,SONIC DRIVE IN #4930,250,Sonic Corp.,SONC
2016-01-01,BUFFALO WILD WINGS 0567,3134,Buffalo Wild Wings,BWLD
2014-10-01,PANERA BREAD #1216,332,Panera Bread Company,PNRA
2016-03-01,PAYPAL *HSN FLX 2 OF 5,863,"HSN,Inc.",HSNI
2016-01-01,MCDONALD'S F22065,145,McDonalds Corporation,MCD
2013-12-01,MCDONALD'S F7364,366,McDonalds Corporation,MCD
2015-02-01,MCDONALD'S F10056,648,McDonalds Corporation,MCD
2015-04-01,ADVANCE AUTO PARTS #9689,433,Advance Auto Parts,AAP
2015-04-01,VITAMIN SHOPPE #421,657,"Vitamin Shoppe, Inc.",VSI
2015-04-01,VITAMIN SHOPPE #421,657,"Vitamin Shoppe, Inc.",VSI
2015-09-01,WM SUPERCENTER #2502,9032,"Wal-Mart Stores, Inc.",WMT
2015-03-01,DOLLAR GENERAL #10697,538,Dollar General Corporation,DG
2014-07-01,WM SUPERCENTER #578,18957,"Wal-Mart Stores, Inc.",WMT
2015-06-01,WALGREENS #11638,1710,Walgreens,WBA
2014-04-01,VESTA *WHOLE FOOD GFT,4140,"Whole Foods Market, Inc.",WFM
2014-11-01,DD/BR #301863      Q35,159,Dunkin' Donuts,DNKN
2014-12-01,VICTORIA S SECRET 0830,2749,Victoria's Secret,LB
2015-11-01,JUSTICE #0553,1037,Justice,ASNA
2015-04-01,WALGREENS #13607,8115,Walgreens,WBA
2015-11-01,SAMS CLUB #4824,12724,Sam's Club,WMT
2014-12-01,PAPA JOHN'S #01115,228,"Papa John's International, Inc.",PZZA
2016-04-01,NIKE UNION ST#237,6522,NIKE,NKE
2014-05-01,WAL-MART #0984     SE2,823,"Wal-Mart Stores, Inc.",WMT
2016-07-01,TACO BELL #30389,206,Taco Bell,YUM
2014-06-01,FAMILY DOLLAR #10177,556,Family Dollar,DLTR
2014-08-01,CARRABBAS 7901,1062,Carrabba's Prime Steak House & Wine Bar,BLMN
2016-03-01,PANERA BREAD #4400,1178,Panera Bread Company,PNRA
2015-04-01,MARRIOTT METAIRE NWO LKWY,27432,Marriott Hotels,MAR
2015-04-01,COMCAST JACKSONV,13422,Comcast,CMCSA
2015-11-01,ROSS STORES #1234,5597,"Ross Stores, Inc.",ROST
2014-12-01,KFC G961017   27510171,262,KFC,YUM
2016-02-01,SALLY BEAUTY 10442,955,Sally Beauty Supply,SBH
2015-05-01,PAPA JOHN'S #00550,292,"Papa John's International, Inc.",PZZA
2015-10-01,CARQUEST OF BONNERS FERR,1913,Car Quest,AAP
2016-06-01,CHILI'S #107,2659,Chili's Grill & Bar,EAT
2015-05-01,BOJANGLES 1206,577,Bojangles,BOJA
2015-06-01,TJMAXX #0155,5717,T.J. Maxx,TJX
2015-02-01,BANANA REPUBLIC STORE 486,4042,Banana Republic,GPS
2015-02-01,BANANA REPUBLIC STORE 486,4042,Banana Republic,GPS
2016-05-01,BED BATH & BEYOND #292,20302,Bed Bath & beyond,BBBY
2015-02-01,MCDONALD'S F4920,229,McDonalds Corporation,MCD
2014-05-01,AUTOZONE #5874,2886,Autozone,AZO
2014-11-01,BURGER KING #10754,619,Burger King,QSR-TSE
2016-03-01,CHIPOTLE 1138,2596,Chipotle,CMG
2015-08-01,TARGET        00024927 SACRAMENTO   CAUS,1066,Target Corporation,TGT
2015-09-01,WENDY'S  #0543,1876,Wendy's,WEN
2014-05-01,APPLEBEES     98491012,554,Applebee's Neighborhood Bar & Grill,DIN
2015-11-01,DENNY'S #8065,1812,Denny's,DENN
2014-11-01,DUNKIN #335562     Q35,424,Dunkin' Donuts,DNKN
2016-04-01,LOWES #01819*,2560,Lowe's,LOW
2015-04-01,CHICO'S #501,1842,Chico's,CHS
2016-06-01,STARBUCKS #06342 DENVER,1382,Starbuck's,SBUX
2015-01-01,COSTCO GAS #0476 00000000,629,Costco Gas,COST
2016-02-01,BURLNGTON STORES190,7753,"Burlington Stores, Inc.",BURL
2014-04-01,LIDS 5158,1038,Lids,GCO
2014-07-01,DOMINO'S 7902,1560,"Domino's Pizza, Inc.",DPZ
2014-03-01,TACO BELL #18286,285,Taco Bell,YUM
2014-08-01,TACO BELL #030165,592,Taco Bell,YUM
2015-09-01,CVS/PHARMACY #03163,406,CVS Pharmacy,CVS
2014-06-01,BURGER KING #3679,335,Burger King,QSR-TSE
2015-12-01,TEXAS RDHSENEW PHIL L,4140,"Texas Roadhouse, Inc.",TXRH
2016-01-01,PAPA MURPHY'S CO121,952,Papa Murphy's,FRSH
2014-01-01,TARGET        00019679,14498,Target Corporation,TGT
2014-09-01,KFC E960005   22300057,484,KFC,YUM
2014-06-01,BUFFALO WILD WINGS 041,775,Buffalo Wild Wings,BWLD
2014-10-01,SALLY BEAUTY #0464,471,Sally Beauty Supply,SBH
2014-11-01,OUTBACK 4726,5243,Outback Steakhouse,BLMN
2015-02-01,TACO BELL #16041,161,Taco Bell,YUM
2015-08-01,STARBUCKS #02492 CHICAGO,226,Starbuck's,SBUX
2015-03-01,CVS/PHARMACY #00524,1674,CVS Pharmacy,CVS
2015-01-01,BEST BUY       329,5844,Best Buy,BBY
2015-12-01,SPROUTS FARMERS MARK,90394,"Sprouts Farmers Markets, Inc.",SFM
2016-01-01,WAL MART  0343,13906,"Wal-Mart Stores, Inc.",WMT
2014-04-01,PAPA MURPHY'S AZ071,679,Papa Murphy's,FRSH
2015-01-01,MACY*S EAST  #242,34559,Macy's Inc,M
2015-04-01,LOAF N JUG #0684   Q81,433,Loaf 'N Jug,KR
2015-11-01,MADEWELL #1202,1938,Madewell,JCG
2014-03-01,AEROPOSTALE #826,486,Aeropostale,AROPQ
2014-09-01,SALLY BEAUTY #2684,554,Sally Beauty Supply,SBH
2015-04-01,TACO BELL 000200023481,544,Taco Bell,YUM
2013-11-01,WALGREENS #9714,1107,Walgreens,WBA
2015-07-01,MCDONALD'S F5727,736,McDonalds Corporation,MCD
2014-08-01,CVSPHARMACY #9744  Q03,8771,CVS Pharmacy,CVS
2015-05-01,POTBELLY 289,453,Potbelly Corp.,PBPB
2014-03-01,ROSS STORES #673,12779,"Ross Stores, Inc.",ROST
2015-01-01,SEARS AUTO CNTR 6114,2585,Sears Auto Center,SHLD
2016-01-01,MCDONALD'S F25554,561,McDonalds Corporation,MCD
2014-07-01,WAL-MART #1584     SE2,929,"Wal-Mart Stores, Inc.",WMT
2014-12-01,EXPRESS#0493,1317,Express,EXPR
2014-05-01,JAMBA JUICE # 0562,312,Jamba Juice,JMBA
2016-03-01,JOSABANK CLOTHIERS 482,3305,Jos.A.Bank,TLRD
2016-03-01,STARBUCKS #05954 LINCOLN,442,Starbuck's,SBUX
2015-08-01,MACY*S .COM #0129 0000001,36017,Macy's Inc,M
2014-07-01,DICK'S SPORTING GOODS688,9547,"Dick's Sporting Goods, Inc.",DKS
2016-05-01,THE VITAMIN SHOPPE#294,590,"Vitamin Shoppe, Inc.",VSI
2016-05-01,THE VITAMIN SHOPPE#294,590,"Vitamin Shoppe, Inc.",VSI
2015-02-01,MCDONALD'S F7019,345,McDonalds Corporation,MCD
2015-04-01,ADVANCE AUTO PARTS #2860,775,Advance Auto Parts,AAP
2016-03-01,VZWRLSS*IVR VE,2898354,Verizon Wireless,VZ
2015-08-01,THE OLIVE GARD00013565,6191,Olive Garden,DRI
2015-05-01,DOUBLETREE GATEWAY,5268,DoubleTree,HLT
2015-08-01,VERSONA #4019,622,Versona,CATO
2016-06-01,WM SUPERCENTER #718    AUBURNDALE   FLUS,2416,"Wal-Mart Stores, Inc.",WMT
2015-06-01,STARBUCKS #08695 FENTON,166,Starbuck's,SBUX
2015-03-01,SAMS CLUB #8172,7429,Sam's Club,WMT
2014-03-01,KFC H009055   41990557,424,KFC,YUM
2015-06-01,OFFICEMAX/OFFICEDEPOT6590,5011,Office Depot,ODP
2015-01-01,RED ROBIN 163,2900,Red Robin Gourmet Burgers,RRGB
2014-02-01,AUTOZONE #5373,1376,Autozone,AZO
2015-05-01,WALGREENS #5087,13976,Walgreens,WBA
2015-04-01,STARBUCKS #11219 SURPRISE,1010,Starbuck's,SBUX
2016-05-01,MURPHY7132ATWAL,317,"Murphy USA, Inc.",MUSA
2014-08-01,SAFEWAY  FUEL 10026201 ROSEVILLE    CAUS,1141,Safeway,Alberstons
2016-01-01,BOJANGLES 771 02007714,298,Bojangles,BOJA
2015-06-01,BURGER KING #11888,1204,Burger King,QSR-TSE
2014-10-01,MCDONALD'S F35214,278,McDonalds Corporation,MCD
2015-04-01,VAN HEUSEN #107,928,Van Heusen,PVH
2015-08-01,AUTOZONE #5113,1087,Autozone,AZO
2014-08-01,LOWES #01148*,96470,Lowe's,LOW
2013-12-01,BED BATH & BEYOND #204,5286,Bed Bath & beyond,BBBY
2014-08-01,SPROUTS FARMERS MARKET 27,30761,"Sprouts Farmers Markets, Inc.",SFM
2015-11-01,STARBUCKS #05788 HUNTINGT,1014,Starbuck's,SBUX
2015-05-01,MCDONALD'S F765,101,McDonalds Corporation,MCD
2015-03-01,KROGER #0517,19302,Kroger,KR
2015-03-01,KROGER #0517,19302,Kroger Fuel,KR
2016-05-01,MCDONALD'S F4227,1148,McDonalds Corporation,MCD
2015-09-01,STARBUCKS #11208 MCLEAN,698,Starbuck's,SBUX
2015-01-01,TARGET        00020321,16325,Target Corporation,TGT
2016-06-01,JACK IN THE BOX #6059,561,Jack in the Box Inc.,JACK
2015-06-01,JCPENNEY 0249,1625,"J.C Penney Company, Inc.",JCP
2016-02-01,BOJANGLES 553 01005537,1402,Bojangles,BOJA
2015-10-01,MCDONALD'S F13677,776,McDonalds Corporation,MCD
2015-10-01,WAL-MART #1109,8593,"Wal-Mart Stores, Inc.",WMT
2014-04-01,WYNDHAM BONNET CRK ESCUDO,521,Wyndham Hotels,WYN
2014-07-01,STAPLES       00117606,1087,Staples,SPLS
2014-07-01,MCDONALD'S F36016,453,McDonalds Corporation,MCD
2014-12-01,WAL-MART #2043,1938,"Wal-Mart Stores, Inc.",WMT
2014-12-01,WAL-MART #2043,1938,"Wal-Mart Stores, Inc.",WMT
2016-07-01,COURTYARD SYRACUSE,3483,Courtyard,MAR
2014-05-01,DOLLAR-GENERAL #3887,425,Dollar General Corporation,DG
2014-12-01,AEROPOSTALE 770,2394,Aeropostale,AROPQ
2014-06-01,TUESDAY MORNING # 0813,538,Tuesday Morning,TUES
2014-04-01,POTBELLY 136,521,Potbelly Corp.,PBPB
2015-08-01,MACY*S .COM #0129      800-289-6229 OHUS,12017,Macy's Inc,M
2016-06-01,MCDONALD'S F3565,340,McDonalds Corporation,MCD
2016-05-01,TACO BELL 302700302794,408,Taco Bell,YUM
2015-07-01,HARRY & DAVID #552,512,Harry & David,FLWS
2015-09-01,PUBLIX #1188,32339,Publix Super Markets,PUSH
2016-02-01,THE HOME DEPOT 6644,59338,Home Depot,HD
2016-01-01,OUTBACK 0324           PHOENIX      AZUS,582,Outback Steakhouse,BLMN
2014-06-01,MCDONALD'S F235,894,McDonalds Corporation,MCD
2014-11-01,DUNKIN #342318     Q35,427,Dunkin' Donuts,DNKN
2015-02-01,DOLRTREE 3090 00030908,273,Dollar Tree,DLTR
2014-02-01,DEL TACO 0967,718,Del Taco,TACO
2014-03-01,PIZZA HUT 22495,286,Pizza Hut,YUM
2016-03-01,BED BATH & BEYOND #1179,20111,Bed Bath & beyond,BBBY
2015-07-01,AMC ST CHARLES TC 9 #2794,1043,"AMC Entertainment, Inc.",AMC
2014-03-01,BUFFALO WILD WINGS 3661,1625,Buffalo Wild Wings,BWLD
2015-05-01,KROGER #0567,33539,Kroger Fuel,KR
2015-05-01,KROGER #0567,33539,Kroger,KR
2016-02-01,FREDS         00019109,1198,"Fred's, Inc.",FRED
2015-12-01,TACO BELL #3915,985,Taco Bell,YUM
2015-01-01,KMART 9614,9892,K Mart,SHLD
2015-01-01,KMART 9614,9892,K Mart,SHLD
2014-11-01,DOLLAR GENERAL #11663,689,Dollar General Corporation,DG
2014-11-01,JACK IN THE BOX #4368,345,Jack in the Box Inc.,JACK
2016-03-01,PUBLIX #1342           PALMETTO     FLUS,1556,Publix Super Markets,PUSH
2013-11-01,NEW YORK & COMPANY #533,2929,New York & Company,NWY
2015-08-01,PIER 1        00014167,1135,Pier 1 Imports,PIR
2014-01-01,PIZZA HUT 25868,1332,Pizza Hut,YUM
2014-08-01,NEW YORK TIMES DIGITAL,185786,The New York Times,NYT
2016-06-01,CVS/PHARMACY #04160,3859,CVS Pharmacy,CVS
2015-12-01,LYFT   *RIDE THU 6AM,6245,Lyft,Lyft
2014-02-01,STAPLES       00111849,9796,Staples,SPLS
2015-10-01,HIBBETT SPORTS #314,699,"Hibbett Sports, Inc.",HIBB
2015-11-01,MICHAELS STORES 2116,9993,"Michaels Cos., Inc.",MIK
2014-06-01,A EAGLE OUTFTR00003996,1988,American Eagle Outfitters,AEO
2014-09-01,TRACTOR SUPPLY #790,1026,Tractor Supply Company,TSCO
2015-06-01,WAL-MART SUPERCENTER 3477,494,"Wal-Mart Stores, Inc.",WMT
2015-04-01,WAL-MART #5603,3673,"Wal-Mart Stores, Inc.",WMT
2015-04-01,WAL-MART #5603,3673,"Wal-Mart Stores, Inc.",WMT
2016-05-01,GRUBHUBSARPINOSPIZZER,2387,Grubhub.com,GRUB
2014-10-01,STAPLES       00105601,3662,Staples,SPLS
2016-04-01,WALGREENS #1779,1506,Walgreens,WBA
2015-03-01,JOESCRBSHK-HUNT VALLEY,1267,Joe's Crab Shack,IRG
2016-03-01,SHOE CARNIVAL #459,2904,"Shoe Carnival, Inc.",SCVL
2016-04-01,BOOT BARN #182/BASKINS,3631,"Boot Barn Holdings, Inc.",BOOT
2015-03-01,CASEYS GEN STORE 1537,1333,"Caseys General Stores, Inc",CASY
2015-02-01,SAFEWAY  STORE00010470,24537,Safeway,Alberstons
2014-04-01,GAMESTOP #3940,870,Gamestop,GME
2014-03-01,SALLY BEAUTY #2229,709,Sally Beauty Supply,SBH
2015-02-01,WS OUTLET 0464,1605,Williams-Sonoma Outlet,WSM
2014-10-01,FAMILY DOLLAR #9051,335,Family Dollar,DLTR
2016-06-01,FRANCESCA'S #468,404,Francesca's,FRAN
2015-05-01,RESIDENCE INNS FW CULTURL,5847,Residence Inn,MAR
2015-08-01,SALLY BEAUTY #0606,692,Sally Beauty Supply,SBH
2016-02-01,BATH & BODY WORKS 0902,417,Bath & Body Works,LB
2014-01-01,DOLRTREE 3904 00039040,417,Dollar Tree,DLTR
2015-06-01,DOMINO'S 6085,456,"Domino's Pizza, Inc.",DPZ
2014-03-01,CVSPHARMACY #8586  Q03,5396,CVS Pharmacy,CVS
2015-08-01,PUBLIX #1245,31712,Publix Super Markets,PUSH
2015-12-01,RITE AID STORE - 5710,2960,Rite Aid,RAD
2016-07-01,TACO BELL#26830,238,Taco Bell,YUM
2016-05-01,SALLY BEAUTY #3940,773,Sally Beauty Supply,SBH
